"study","g","lower_g","upper_g","pi_lower","pi_upper","i2","i2_lower","i2_upper","tau2","tau2_lower","tau2_upper"
"omit_lorenzo",0.14,-0.18,0.46,-0.64,0.91,0,0,0.48,0.097,0,0.335
"omit_van",0.14,-0.18,0.45,-0.61,0.88,0,0,0.47,0.089,0,0.308
"omit_ronnestad",0.15,-0.18,0.48,-0.65,0.95,0,0,0.51,0.105,0,0.367
"omit_willmott2",0.15,-0.18,0.48,-0.65,0.95,0,0,0.51,0.104,0,0.366
"omit_willmott1",0.16,-0.17,0.49,-0.65,0.97,0,0,0.52,0.108,0,0.378
"omit_chen",0.17,-0.15,0.5,-0.64,0.99,0,0,0.52,0.108,0,0.381
"omit_gore1",0.17,-0.15,0.49,-0.64,0.98,0,0,0.52,0.109,0,0.382
"omit_rivas",0.17,-0.16,0.5,-0.64,0.98,0,0,0.52,0.108,0,0.381
"omit_waldron",0.17,-0.14,0.48,-0.59,0.93,0,0,0.46,0.096,0,0.303
"omit_keiser",0.18,-0.14,0.51,-0.62,0.99,0,0,0.51,0.107,0,0.374
"omit_mikkelsen",0.18,-0.15,0.51,-0.63,0.99,0,0,0.52,0.108,0,0.38
"omit_gore2",0.2,-0.11,0.51,-0.55,0.95,0,0,0.48,0.091,0,0.316
"omit_takeno",0.2,-0.11,0.52,-0.54,0.95,0,0,0.46,0.088,0,0.302
"omit_karlsen",0.26,-0.03,0.55,-0.31,0.83,0,0,0.1,0.045,0,0.088
